ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,hour,month,day_name,year,Crime_Severity_Score,Crime_Type_Code,KMeans_Cluster,DBSCAN_Cluster,HC_Cluster,Temporal_cluster,TSNE_1,TSNE_2
14018419,JJ476538,2025-11-03 23:30:00,030XX W FIFTH AVE,0810,THEFT,OVER $500,STREET,0,0,1124,11,28,27,06,1156054.0,1899260.0,2025,11/11/2025 03:41:33 PM,41.879359462,-87.702457471,"(41.879359462, -87.702457471)",23,11,0,2025,2,26,2,-1,0,3,62.342102,-31.001554
14019671,JJ476522,2025-11-03 23:25:00,036XX W 79TH ST,031A,ROBBERY,ARMED - HANDGUN,STREET,0,0,834,8,18,70,03,1153382.0,1851943.0,2025,11/11/2025 03:41:33 PM,41.749568654,-87.713521821,"(41.749568654, -87.713521821)",23,11,0,2025,3,23,2,-1,0,3,76.004555,-45.35276
14018431,JJ476515,2025-11-03 23:06:00,055XX W POTOMAC AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,1,1,2532,25,37,25,08B,1139085.0,1908108.0,2025,11/11/2025 03:41:33 PM,41.903964862,-87.764550294,"(41.903964862, -87.764550294)",23,11,0,2025,3,2,0,-1,1,3,66.37266,-62.237614
14019421,JJ477745,2025-11-03 23:00:00,0000X N LONG AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,0,1,1522,15,37,25,14,1140342.0,1899708.0,2025,11/11/2025 03:41:33 PM,41.880891271,-87.76013908,"(41.880891271, -87.76013908)",23,11,0,2025,3,5,0,-1,1,3,66.13307,-62.58671
14020435,JJ478276,2025-11-03 23:00:00,057XX N ROGERS AVE,0810,THEFT,OVER $500,STREET,0,0,1711,17,39,12,06,1145863.0,1938084.0,2025,11/11/2025 03:41:33 PM,41.986095589,-87.738889098,"(41.986095589, -87.738889098)",23,11,0,2025,2,26,2,-1,0,3,60.571075,-31.701662
14018997,JJ477294,2025-11-03 23:00:00,065XX S GREEN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,0,0,723,7,16,68,14,1171762.0,1861468.0,2025,11/11/2025 03:41:33 PM,41.775323369,-87.645890849,"(41.775323369, -87.645890849)",23,11,0,2025,3,5,2,-1,0,3,57.437847,-70.08249
14018635,JJ476875,2025-11-03 23:00:00,026XX N LAKEWOOD AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,0,0,1932,19,32,7,06,1167184.0,1917613.0,2025,11/11/2025 03:41:33 PM,41.929489512,-87.661061869,"(41.929489512, -87.661061869)",23,11,0,2025,2,26,2,-1,0,3,63.509216,-31.318121
14018705,JJ476958,2025-11-03 23:00:00,023XX S WESTERN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,0,0,1034,10,25,31,07,1160731.0,1888579.0,2025,11/11/2025 03:41:33 PM,41.849954132,-87.685580175,"(41.849954132, -87.685580175)",23,11,0,2025,2,15,2,-1,0,3,69.93802,-33.461617
14018623,JJ476870,2025-11-03 23:00:00,032XX W 56TH ST,0820,THEFT,$500 AND UNDER,STREET,0,0,822,8,14,63,06,1155765.0,1867308.0,2025,11/11/2025 03:41:33 PM,41.791685123,-87.704377691,"(41.791685123, -87.704377691)",23,11,0,2025,2,26,2,-1,0,3,69.92937,-35.571735
14018660,JJ476934,2025-11-03 23:00:00,014XX S TRIPP AVE,0810,THEFT,OVER $500,STREET,0,0,1011,10,24,29,06,1148287.0,1892693.0,2025,11/11/2025 03:41:33 PM,41.861491964,-87.731146022,"(41.861491964, -87.731146022)",23,11,0,2025,2,26,2,-1,0,3,62.04713,-30.788866
